brcIdx,frmBusIdx,toBusIdx,x,rateA,pkPreRT,pkRT_ISO,pkPostRTSCED,pkPostRTACtual,pkPostRTVio
1,16,1,0.011690,160.000000,88.971415,86.937462,94.190413,96.224366,-63.775634
2,355,1,0.066120,160.000000,-88.971415,-86.937462,-94.190413,-96.224366,-63.775634
3,17,2,0.011690,160.000000,148.601563,146.134954,154.734599,157.201207,-2.798793
4,354,2,0.066120,160.000000,-148.601563,-146.134954,-154.734599,-157.201207,-2.798793
5,10,3,0.078950,274.000000,144.943521,148.084289,147.968640,144.827873,-129.172127
6,219,3,0.067360,160.000000,-56.102750,-57.673133,-54.922810,-53.352426,-106.647574
7,220,3,0.067360,160.000000,-88.840771,-90.411155,-93.045831,-91.475447,-68.524553
8,7,4,0.097110,377.000000,-219.251613,-201.795559,-226.499806,-243.955860,-133.044140
9,11,4,0.015990,335.000000,157.245000,150.995791,176.753440,183.002650,-151.997350
10,14,4,0.032230,464.000000,139.862210,135.253132,219.780495,224.389573,-239.610427
11,16,4,0.066650,377.000000,164.974388,163.066185,237.077294,238.985497,-138.014503
12,22,4,0.043000,350.000000,-79.877708,-81.598120,-202.060032,-200.339621,-149.660379
13,245,4,0.069010,160.000000,-99.821015,-101.319418,-126.671878,-125.173475,-34.826525
14,246,4,0.069010,160.000000,-63.131261,-64.602011,-78.379513,-76.908765,-83.091235
15,5,6,0.030500,400.000000,-267.817018,-249.425839,-317.799599,-336.190778,-63.809222
16,7,5,0.039880,381.000000,-95.788552,-77.210621,-117.556300,-136.134231,-244.865769
17,10,5,0.112190,381.000000,2.518778,-3.755664,-16.098938,-9.824496,-371.175504
18,309,5,0.068600,160.000000,-87.273622,-84.229777,-92.072181,-95.116026,-64.883974
19,309,5,0.068600,160.000000,-87.273622,-84.229777,-92.072181,-95.116026,-64.883974
20,6,8,0.013290,1316.000000,-326.486402,-311.697191,-465.329569,-480.118781,-835.881219
21,6,9,0.036750,1427.000000,126.737999,133.701736,150.514920,143.551184,-1283.448816
22,15,6,0.034170,1427.000000,-94.658566,-107.977050,-106.248753,-92.930269,-1334.069731
23,31,6,0.015060,1385.000000,412.727180,392.955362,356.994932,376.766750,-1008.233250
24,310,6,0.061880,250.000000,-250.000000,-213.547928,-247.761229,-284.213301,34.213301
25,12,7,0.087420,381.000000,-19.018613,-27.694188,-70.959199,-62.283625,-318.716375
26,13,7,0.013260,335.000000,-4.596575,-0.399389,5.697645,1.500460,-333.499540
27,19,7,0.040700,323.000000,-22.417378,-33.179489,-78.959448,-68.197337,-254.802663
28,21,7,0.006510,160.000000,-126.871784,-102.406369,-101.559439,-126.024854,-33.975146
29,29,7,0.074980,362.000000,159.757776,141.301573,152.122953,170.579156,-191.420844
30,321,7,0.033680,250.000000,-165.389832,-145.985932,-138.339497,-157.743397,-92.256603
31,322,7,0.067750,160.000000,-136.503759,-110.642386,-112.059120,-137.920494,-22.079506
32,8,18,0.039770,1316.000000,-326.486402,-311.697191,-465.329569,-480.118781,-835.881219
33,332,9,0.052440,330.000000,-126.737999,-133.701736,-150.514920,-143.551184,-186.448816
34,171,10,0.104130,464.000000,-122.987735,-125.674930,-143.825221,-141.138026,-322.861974
35,346,10,0.068390,160.000000,-17.062378,-16.852125,-13.991759,-14.202012,-145.797988
36,347,10,0.068390,160.000000,-100.257587,-99.079820,-96.248818,-97.426585,-62.573415
37,16,11,0.039520,464.000000,214.605146,213.915448,328.312605,329.002303,-134.997697
38,17,11,0.039520,464.000000,256.661460,251.152006,363.799984,369.309438,-94.690562
39,111,11,0.061960,394.000000,-93.821204,-93.770409,-258.672148,-258.722944,-135.277056
40,352,11,0.069010,160.000000,-123.130187,-123.180614,-150.807558,-150.757132,-9.242868
41,353,11,0.069010,160.000000,-97.070215,-97.120642,-105.879444,-105.829016,-54.170984
42,140,12,0.105890,464.000000,124.019517,114.714591,55.551245,64.856171,-399.143829
43,359,12,0.066120,160.000000,-94.319261,-107.951090,-101.738035,-88.106207,-71.893793
44,360,12,0.066120,160.000000,-48.718870,-34.457690,-24.772410,-39.033589,-120.966411
45,29,13,0.081140,339.000000,148.380436,130.639485,139.642941,157.383892,-181.616108
46,365,13,0.069010,160.000000,-69.994130,-68.942199,-66.731019,-67.782949,-92.217051
47,366,13,0.069010,160.000000,-82.982881,-62.096675,-67.214277,-88.100483,-71.899517
48,17,14,0.028530,464.000000,285.658936,279.731564,354.719156,360.646527,-103.353473
